Default Dataset,
X,Y
405.9877190596186,0.5730238601272932
414.45346056926866,0.5982912318170647
420.92726290017754,0.6241966924692155
429.89098920451295,0.6464909860746049
440.84665468758953,0.6443752489819129
451.80232017066606,0.6492803757771899
462.7579856537426,0.6624828871673394
473.7136511368192,0.6833445227989094
484.66931661989577,0.682596486463614
495.62498210297235,0.6658007612415324
506.58064758604894,0.6517404375342439
515.0463890956989,0.6613096438641194
523.5121306053491,0.6819420296538248
534.4677960884256,0.6797351125106397
545.4234615715022,0.6669513095102546
556.3791270545788,0.6595471294889627
567.3347925376554,0.6627198353248708
578.2904580207319,0.6557715555560444
589.2461235038085,0.6450848937170006
600.201788986885,0.6595639258140535
611.1574544699616,0.6567187483174168
622.1131199530382,0.681227585968711
633.0687854361148,0.6803883695829225
644.0244509191914,0.6611307829975271
652.9881772235267,0.6403490156056747
661.9519035278621,0.6188508335313764
669.9196602428269,0.6299728801115246
674.4015233949946,0.6531714244451078
681.8712953152741,0.6731437546499935
692.8269607983506,0.668839696345467
703.7826262814272,0.6659033387983372
712.7463525857626,0.6566493349331128
719.2201549166714,0.6350803826285211
725.195972452895,0.6102126235065358
733.661713962545,0.6027311603942009
744.6173794456216,0.6269664578940158
755.0750601340129,0.6233155966748969
765.5327408224042,0.599568652327098
776.4884063054808,0.5923468324067922
787.4440717885574,0.582024890769721
795.4118285035221,0.5577873137686438
800.3916764503751,0.535955330441826
804.8735396025428,0.5138693026980092
810.351372344081,0.49022808950274643
819.3150986484164,0.46871688170694914
830.270764131493,0.46787766532116065
839.7324752305137,0.454172163981416
846.2062775614226,0.42974232904492404
854.1740342763874,0.40630713648818606
865.129699759464,0.39771761581048376
876.0853652425405,0.4003432413434332
885.5470763415611,0.38740137292656834
892.0208786724701,0.36625629930909037
897.000726619323,0.3436219315379332
901.9805745661761,0.32098756376677606
907.4584073077143,0.29849022601448527
914.9281792279938,0.2750253932761286
923.8919055323291,0.2511246892364565
933.8516014260351,0.22903392252948918
943.3133125250558,0.20925355032564152
950.7830844453352,0.1873986605820035
957.7548715709295,0.1645195806377373
966.7185978752649,0.1440895077263582
977.6742633583414,0.1252878213934282
988.629928841418,0.10885681637331912
999.5855943244945,0.0949788527670169
1010.5412598075711,0.0809185290597283
1021.4969252906477,0.06749646570589152
1032.4525907737243,0.053892042251068584
1043.408256256801,0.042840660210052395
1054.3639217398775,0.03452467968382944
1065.319587222954,0.026755779460565177
1076.2752527060306,0.01944277948976636
1087.2309181891071,0.012129779518967432
1094.7006901093866,0.008782811810241986
