Wavelength (nm),% Transmission,Optical Density
339,3.83E-06,7.41682
338,2.52E-05,6.59896
337,5.25E-07,8.2796
336,8.97E-06,7.04707
335,6.49E-06,7.18766
334,9.49E-08,9.02279
333,1.49E-05,6.82799
332,1.24E-06,7.90507
331,8.55E-07,8.06787
330,2.38E-05,6.62308
329,8.37E-06,7.07741
328,1.26E-05,6.90058
327,1.33E-05,6.8773
326,2.16E-05,6.66572
325,4.85E-07,8.31467
324,5.62E-06,7.25002
323,1.11E-05,6.95543
322,2.61E-05,6.58391
321,2.77E-06,7.55734
320,2.45E-06,7.61029
319,1.33E-05,6.87578
318,3.28E-06,7.48434
317,2.73E-05,6.56329
316,6.55E-06,7.18387
315,4.95E-06,7.30533
314,1.01E-05,6.99664
313,1.80E-06,7.74469
312,3.08E-06,7.51122
311,3.11E-05,6.50755
310,1.07E-05,6.97225
309,1.03E-05,6.98668
308,1.46E-05,6.8358
307,5.70E-06,7.24412
306,3.19E-05,6.49592
305,5.81E-06,7.23596
304,5.34E-06,7.27267
303,1.96E-05,6.70808
302,3.27E-06,7.4859
301,1.24E-05,6.90783
300,2.13E-05,6.67113
299,4.83E-06,7.31603
298,9.16E-06,7.0382
297,2.14E-05,6.66868
296,6.66E-06,7.1764
295,2.43E-05,6.61409
294,4.83E-06,7.31623
293,8.17E-06,7.08789
292,2.19E-05,6.65962
291,6.49E-06,7.18759
290,3.04E-05,6.51694
289,3.72E-06,7.42973
288,4.48E-06,7.34907
287,2.72E-05,6.56507
286,2.55E-06,7.59321
285,1.14E-05,6.9435
284,2.33E-05,6.63211
283,8.23E-06,7.0848
282,1.80E-05,6.74409
281,2.36E-05,6.62758
280,1.58E-06,7.80227
279,6.23E-06,7.20569
278,1.81E-05,6.74239
277,9.63E-06,7.01618
276,2.18E-06,7.66197
275,2.58E-05,6.58889
274,1.05E-05,6.97729
273,5.94E-06,7.22617
272,2.28E-05,6.64249
271,1.10E-05,6.96009
270,9.16E-06,7.03798
269,3.48E-05,6.45827
268,6.76E-06,7.17007
267,9.07E-06,7.0423
266,2.45E-05,6.61125
265,3.79E-06,7.42139
264,8.16E-06,7.08839
263,8.10E-06,7.09135
262,2.29E-05,6.63946
261,1.17E-05,6.93256
260,1.20E-06,7.92191
259,1.36E-05,6.86598
258,1.63E-05,6.78878
257,1.09E-05,6.96149
256,3.62E-06,7.4418
255,3.95E-07,8.4031
254,6.89E-06,7.1616
253,3.38E-05,6.47109
252,4.50E-06,7.34664
251,1.24E-05,6.90553
250,3.60E-06,7.44387
249,6.53E-06,7.1851
248,2.23E-05,6.65125
247,9.53E-06,7.0209
246,3.38E-06,7.47153
245,2.68E-05,6.57107
244,8.91E-06,7.05015
243,7.84E-06,7.10573
242,1.25E-05,6.90194
241,1.41E-05,6.85008
240,3.22E-05,6.49247
239,1.57E-05,6.80472
238,1.78E-05,6.74846
237,1.91E-05,6.71801
236,1.71E-05,6.7665
235,1.71E-05,6.7659
234,1.74E-05,6.75887
233,2.01E-05,6.69657
232,1.55E-05,6.81075
231,2.72E-05,6.56535
230,2.64E-05,6.5778
229,2.39E-05,6.62219
228,3.27E-05,6.48481
227,3.15E-05,6.50112
226,3.64E-05,6.43893
225,2.79E-05,6.55502
224,2.22E-05,6.65428
223,3.65E-05,6.43767
222,4.05E-05,6.39288
221,2.10E-05,6.67807
220,3.74E-05,6.42766
219,3.68E-05,6.43446
218,2.36E-05,6.62746
217,3.32E-05,6.47918
216,3.00E-05,6.52323
215,2.83E-05,6.54818
214,3.87E-05,6.41239
213,2.13E-05,6.67095
212,3.53E-05,6.45278
211,1.80E-05,6.74591
210,1.51E-05,6.82084
209,1.00E-05,6.99889
208,2.79E-05,6.55426
207,8.03E-06,7.09527
206,5.02E-06,7.2989
205,2.08E-05,6.6822
204,5.73E-06,7.24196
203,9.98E-06,7.00106
202,4.15E-06,7.3816
201,5.64E-06,7.24866
200,1.86E-05,6.73077
