Wavelength (nm),% Transmission,Optical Density
382,5.44E-05,6.26449
381,1.69E-04,5.77289
380,4.71E-05,6.32688
379,1.37E-04,5.86259
378,1.04E-05,6.98296
377,3.63E-04,5.43983
376,2.59E-04,5.58621
375,2.29E-05,6.64026
374,8.65E-05,6.06291
373,1.12E-04,5.95057
372,2.63E-04,5.57968
371,2.89E-05,6.53924
370,2.30E-04,5.63826
369,1.36E-04,5.86785
368,3.30E-04,5.48133
367,1.41E-04,5.85217
366,4.09E-05,6.38811
365,2.10E-04,5.677
364,7.41E-05,6.13037
363,1.37E-04,5.86226
362,2.31E-04,5.63566
361,1.22E-04,5.91324
360,5.29E-06,7.27627
359,1.70E-04,5.76839
358,7.56E-05,6.1217
357,8.16E-05,6.08837
356,2.72E-04,5.56612
355,2.66E-04,5.57458
354,4.50E-04,5.34662
353,3.09E-05,6.51046
352,4.56E-04,5.34108
351,1.56E-04,5.80565
350,1.18E-04,5.92641
349,8.48E-04,5.07176
348,1.06E-04,5.97669
347,3.18E-05,6.49748
346,1.07E-04,5.97165
345,1.40E-06,7.85277
344,8.41E-05,6.07521
343,4.10E-05,6.38774
342,1.77E-05,6.75324
341,1.66E-04,5.7812
340,4.20E-05,6.37684
339,7.08E-05,6.14972
338,4.07E-05,6.39062
337,4.76E-05,6.32261
336,7.60E-05,6.11901
335,2.66E-04,5.57507
334,3.98E-05,6.40062
333,1.10E-04,5.95937
332,1.65E-04,5.7821
331,4.10E-05,6.38771
330,6.65E-05,6.17707
329,2.14E-05,6.66973
328,1.94E-04,5.71281
327,1.55E-05,6.80954
326,2.67E-05,6.57394
325,2.01E-04,5.69717
324,3.13E-04,5.50485
323,8.49E-05,6.07099
322,3.78E-05,6.42198
321,1.03E-05,6.98665
320,1.30E-04,5.8844
319,1.68E-04,5.77522
318,5.60E-05,6.2519
317,4.76E-05,6.32255
316,1.39E-04,5.85567
315,7.83E-05,6.10645
314,2.07E-04,5.68321
313,3.74E-05,6.42658
312,8.04E-06,7.09469
311,1.66E-04,5.77888
310,3.09E-05,6.51037
309,1.60E-04,5.79537
308,2.22E-04,5.65338
