950,,850,,500,,450,
950_X,950_Y,850_X,850_Y,500_X,500_Y,450_X,450_Y
534.0007588,0.012507176,570.2194907,0.012390745,1158.833434,0.012447959,1297.023694,0.015887591
547.7021289,0.017058026,583.9192203,0.016826488,1181.592275,0.01706228,1322.044115,0.021644843
561.4018585,0.023164603,597.6205904,0.02294896,1204.349149,0.023266327,1344.792129,0.028835576
575.0917452,0.030653516,611.323601,0.031434456,1227.097163,0.030995741,1367.536207,0.038019515
588.7832723,0.040738888,625.0118471,0.041417888,1249.845178,0.041292979,1392.55023,0.050932684
602.466597,0.052987185,638.7066552,0.055521821,1274.859037,0.055294107,1419.831574,0.068849545
618.4384048,0.073521512,654.6788732,0.077121531,1299.870928,0.073660279,1447.112918,0.093069117
636.6785998,0.103226281,672.9190682,0.108280811,1324.884951,0.098678682,1474.39016,0.124459059
654.9175645,0.144464473,691.1568025,0.15104877,1352.167115,0.133679428,1501.663302,0.164650795
673.1454558,0.196374963,709.3908456,0.208673669,1379.446818,0.179926717,1528.934803,0.2168841
691.3684256,0.263506212,727.6187369,0.283656481,1406.72078,0.238544658,1558.473461,0.288150109
709.5913955,0.353586439,745.8441675,0.383095995,1436.264242,0.320957309,1590.280213,0.387086114
727.8082135,0.4668474,764.0683677,0.515724108,1468.076618,0.437581844,1622.084855,0.517115658
746.0225708,0.612412618,782.2864161,0.683127639,1499.88337,0.587825061,1653.886686,0.685734775
766.5106468,0.824392944,800.5056949,0.907802472,1531.685904,0.780943269,1687.954853,0.915198148
789.270473,1.132914731,820.9932788,1.220448519,1563.487735,1.035590296,1724.287599,1.223650264
812.0234091,1.528944557,843.7481835,1.655625493,1597.553001,1.371623629,1760.617269,1.622881409
834.7694552,2.026365606,866.5030882,2.245974107,1633.886978,1.839849135,1799.216966,2.187368599
857.5145169,2.678673678,889.2530714,3.007648418,1670.216033,2.436178747,1840.078284,2.930633412
882.5293603,3.596222139,914.2736565,4.099310408,1708.809578,3.230865963,1880.937415,3.903939701
909.8115244,4.871780885,939.285711,5.46326993,1749.669802,4.316278957,1921.793264,5.155820951
937.0871267,6.486870482,964.2954688,7.237218709,1790.527839,5.733266767,1964.914466,6.835321748
964.3594479,8.563194886,991.5792734,9.846601754,1833.650025,7.620568104,2010.29927,9.054994102
991.6276679,11.18285854,1021.125665,13.35086411,1879.037782,10.17393009,2055.681613,11.91810542
1021.162928,14.72526807,1050.66151,17.60714089,1926.69286,13.70580933,2103.329309,15.74681345
1052.962649,19.41882679,1186.962829,60.23417316,1976.6064,18.20197808,2150.967654,20.30016365
1084.757449,25.27914893,1223.285732,78.47737957,2026.517703,24.03132951,2203.730355,28.36276588
1118.822628,33.47411251,1261.880029,104.2828625,2076.424532,31.35650355,2182.733522,24.49060761
1155.151682,44.3237002,1302.736972,138.1200189,2126.327334,40.4835902,2248.509964,33.89114363
1193.744476,58.66608945,1343.592822,182.4111389,2176.22611,51.71683849,2298.419179,44.5001073
1236.869725,78.60848485,1386.709758,239.1341211,2226.119964,65.21756781,2353.408842,56.42008973
1282.257482,104.9471927,1434.35893,317.185338,2276.011134,81.66417911,2398.195553,68.6882666
1327.641301,138.6679106,1484.272023,420.7421938,2325.898724,101.3003858,2448.084933,85.60631587
1375.286536,182.0334805,1534.179747,550.2851267,2375.784525,125.0681847,2497.969839,105.4434672
1425.19605,239.2030608,1584.082996,711.2955678,2425.665852,152.6065637,2547.853403,129.4198031
1475.099747,309.5565504,1633.979535,903.3340085,2475.544046,184.6813388,2597.735177,158.1022461
1524.994943,391.7467865,1683.870705,1131.137403,2525.420004,222.1867342,2647.613819,191.5573317
1574.887902,492.8516297,1733.756998,1398.341161,2575.295962,267.3087879,2697.488435,229.6471585
1624.776388,612.7983279,1783.640069,1714.084259,2625.165656,316.3408056,2747.359919,273.0529089
1674.659057,750.3722287,1833.520949,2089.044041,2675.035798,374.8073801,2797.23006,323.5189505
1723.026609,904.7947931,1883.396906,2513.2906,2724.902808,440.4376993,2847.100649,383.7634242
1774.413209,1092.500551,1933.269285,2995.368886,2774.766686,513.3153733,2896.96587,448.8447816
1824.286483,1305.122113,1983.138979,3544.804545,2824.631906,600.3670806,2946.830195,523.7293398
1874.155282,1540.888634,2033.007331,4180.242337,2874.491757,692.338073,2996.695415,612.5471222
1924.022292,1810.704593,2082.871656,4877.667401,2924.35295,801.2210909,3046.554819,705.5534339
1973.88617,2110.315502,2132.733745,5658.06871,2974.210117,917.4620076,3096.415565,815.5547657
2023.749153,2453.721673,2182.593149,6517.163599,3024.065494,1045.634859,3146.272284,932.7771699
2073.60632,2809.706881,2232.451658,7489.057296,3073.920872,1191.713934,3196.128556,1065.593955
2123.463934,3221.125673,2282.307035,8535.306429,3123.77267,1345.477619,3245.983933,1214.46139
2173.317074,3649.597274,2309.494573,9015.648515,3173.62581,1524.451992,3295.836179,1372.774208
2223.171556,4149.684053,,,3223.476713,1717.102959,3345.689319,1555.379552
2273.02067,4652.151662,,,3273.326721,1929.55448,3395.541564,1758.133234
2322.870678,5227.747138,,,3323.175387,2160.652576,3445.392467,1980.315415
2372.71845,5840.104141,,,3373.021816,2405.238487,3493.560377,2026.304309
2422.563089,6470.68181,,,3422.867351,2671.218865,,
2472.409071,7194.693726,,,3472.711543,2956.160352,,
2522.251026,7915.459586,,,3502.163404,3126.058453,,
2572.092533,8698.19266,,,,,,
2599.270675,8963.490854,,,,,,
