Wavelength (nm),% Transmission,,
2282,58.81793,,
2281,59.02215,,
2280,59.20345,,
2279,59.37464,,
2278,59.52866,,
2277,59.71956,,
2276,59.92782,,
2275,60.20036,,
2274,60.5543,,
2273,60.93314,,
2272,61.37171,,
2271,61.8501,,
2270,62.38054,,
2269,62.95522,,
2268,63.51378,,
2267,64.12991,,
2266,64.72447,,
2265,65.31766,,
2264,65.88702,,
2263,66.48068,,
2262,67.09933,,
2261,67.66616,,
2260,68.20186,,
2259,68.73751,,
2258,69.25177,,
2257,69.75515,,
2256,70.22593,,
2255,70.72691,,
2254,71.18105,,
2253,71.60784,,
2252,72.01197,,
2251,72.4305,,
2250,72.84724,,
2249,73.21565,,
2248,73.50274,,
2247,73.82797,,
2246,74.10804,,
2245,74.35807,,
2244,74.56544,,
2243,74.75165,,
2242,74.91219,,
2241,75.10176,,
2240,75.2406,,
2239,75.38546,,
2238,75.48762,,
2237,75.57905,,
2236,75.64981,,
2235,75.74454,,
2234,75.83219,,
2233,75.93794,,
2232,76.03289,,
2231,76.14009,,
2230,76.25582,,
2229,76.3559,,
2228,76.48758,,
2227,76.55543,,
2226,76.67135,,
2225,76.72511,,
2224,76.78828,,
2223,76.83704,,
2222,76.88277,,
2221,76.9071,,
2220,76.89774,,
2219,76.91239,,
2218,76.88568,,
2217,76.85724,,
2216,76.81962,,
2215,76.80009,,
2214,76.7581,,
2213,76.73233,,
2212,76.71297,,
2211,76.67741,,
2210,76.68536,,
2209,76.69929,,
2208,76.71947,,
2207,76.71093,,
2206,76.70386,,
2205,76.7255,,
2204,76.79126,,
2203,76.78624,,
2202,76.80911,,
2201,76.79017,,
2200,76.78749,,
2199,76.79911,,
2198,76.74957,,
2197,76.70325,,
2196,76.65471,,
2195,76.60418,,
2194,76.5408,,
2193,76.50294,,
2192,76.45907,,
2191,76.44145,,
2190,76.43851,,
2189,76.46417,,
2188,76.52359,,
2187,76.60341,,
2186,76.66458,,
2185,76.71836,,
2184,76.81342,,
2183,76.8648,,
2182,76.90121,,
2181,76.91057,,
2180,76.90437,,
2179,76.84449,,
2178,76.78382,,
2177,76.66777,,
2176,76.52445,,
2175,76.32559,,
2174,76.06203,,
2173,75.778,,
2172,75.41895,,
2171,75.01885,,
2170,74.57269,,
2169,74.15394,,
2168,73.73217,,
2167,73.36965,,
2166,73.12108,,
2165,72.95261,,
2164,72.8977,,
2163,72.92433,,
2162,73.09929,,
2161,73.34067,,
2160,73.64255,,
2159,73.98598,,
2158,74.32181,,
2157,74.73592,,
2156,75.10159,,
2155,75.41832,,
2154,75.67927,,
2153,75.90181,,
2152,76.05169,,
2151,76.21274,,
2150,76.28335,,
2149,76.30359,,
2148,76.28034,,
2147,76.21254,,
2146,76.10958,,
2145,75.96437,,
2144,75.77804,,
2143,75.56161,,
2142,75.36395,,
2141,75.20254,,
2140,74.99918,,
2139,74.86899,,
2138,74.8078,,
2137,74.8393,,
2136,74.94834,,
2135,75.12856,,
2134,75.3577,,
2133,75.64039,,
2132,76.01151,,
2131,76.31723,,
2130,76.61542,,
2129,76.90431,,
2128,77.13326,,
2127,77.35846,,
2126,77.52524,,
2125,77.67126,,
2124,77.76894,,
2123,77.88059,,
2122,77.96686,,
2121,78.03529,,
2120,78.1029,,
2119,78.1493,,
2118,78.22611,,
2117,78.30321,,
2116,78.34114,,
2115,78.38569,,
2114,78.42191,,
2113,78.47314,,
2112,78.50875,,
2111,78.55557,,
2110,78.57904,,
2109,78.59997,,
2108,78.6429,,
2107,78.69067,,
2106,78.71607,,
2105,78.73764,,
2104,78.75779,,
2103,78.77155,,
2102,78.78478,,
2101,78.77669,,
2100,78.78171,,
2099,78.81772,,
2098,78.84291,,
2097,78.86689,,
2096,78.89752,,
2095,78.93533,,
2094,78.96764,,
2093,79.00352,,
2092,79.00672,,
2091,79.00439,,
2090,79.03629,,
2089,79.09671,,
2088,79.12108,,
2087,79.13895,,
2086,79.17266,,
2085,79.24028,,
2084,79.30556,,
2083,79.34234,,
2082,79.40679,,
2081,79.45661,,
2080,79.52857,,
2079,79.60015,,
2078,79.66953,,
2077,79.72911,,
2076,79.81037,,
2075,79.89019,,
2074,79.94949,,
2073,80.01627,,
2072,80.08109,,
2071,80.15289,,
2070,80.222,,
2069,80.31001,,
2068,80.39043,,
2067,80.44089,,
2066,80.50942,,
2065,80.58105,,
2064,80.65051,,
2063,80.70558,,
2062,80.75217,,
2061,80.81533,,
2060,80.87352,,
2059,80.92753,,
2058,80.99524,,
2057,81.03014,,
2056,81.07133,,
2055,81.13069,,
2054,81.17665,,
2053,81.22093,,
2052,81.24851,,
2051,81.2889,,
2050,81.34137,,
2049,81.38328,,
2048,81.43854,,
2047,81.48472,,
2046,81.5126,,
2045,81.55474,,
2044,81.59566,,
2043,81.65367,,
2042,81.70718,,
2041,81.72489,,
2040,81.77854,,
2039,81.83851,,
2038,81.88763,,
2037,81.92006,,
2036,81.9447,,
2035,82.00806,,
2034,82.06713,,
2033,82.09517,,
2032,82.13267,,
2031,82.18138,,
2030,82.22605,,
2029,82.272,,
2028,82.3154,,
2027,82.34,,
2026,82.39919,,
2025,82.45638,,
2024,82.48077,,
2023,82.51831,,
2022,82.54168,,
2021,82.57069,,
2020,82.62623,,
2019,82.67091,,
2018,82.70409,,
2017,82.73985,,
2016,82.76235,,
2015,82.80001,,
2014,82.84233,,
2013,82.865,,
2012,82.90152,,
2011,82.95009,,
2010,82.99203,,
2009,83.01702,,
2008,83.03564,,
2007,83.07395,,
2006,83.11565,,
2005,83.1566,,
2004,83.20789,,
2003,83.25371,,
2002,83.28346,,
2001,83.30308,,
2000,83.35292,,
1999,83.40731,,
1998,83.45717,,
1997,83.46581,,
1996,83.484,,
1995,83.53216,,
1994,83.57487,,
1993,83.6343,,
1992,83.67229,,
1991,83.70485,,
1990,83.74461,,
1989,83.78955,,
1988,83.83577,,
1987,83.87738,,
1986,83.91573,,
1985,83.95486,,
1984,83.99495,,
1983,84.02464,,
1982,84.05921,,
1981,84.10768,,
1980,84.14155,,
1979,84.16961,,
1978,84.20295,,
1977,84.24721,,
1976,84.29322,,
1975,84.31823,,
1974,84.33513,,
1973,84.37243,,
1972,84.41754,,
1971,84.4474,,
1970,84.49683,,
1969,84.52424,,
1968,84.59191,,
1967,84.6324,,
1966,84.66946,,
1965,84.70468,,
1964,84.77633,,
1963,84.83081,,
1962,84.83634,,
1961,84.87542,,
1960,84.91098,,
1959,84.99519,,
1958,85.02451,,
1957,85.05863,,
1956,85.08148,,
1955,85.10485,,
1954,85.15108,,
1953,85.21053,,
1952,85.22954,,
1951,85.23408,,
1950,85.26764,,
1949,85.37284,,
1948,85.37936,,
1947,85.36432,,
1946,85.39825,,
1945,85.43884,,
1944,85.46569,,
1943,85.53215,,
1942,85.53524,,
1941,85.53603,,
1940,85.56761,,
1939,85.58907,,
1938,85.6042,,
1937,85.63116,,
1936,85.654,,
1935,85.67529,,
1934,85.67538,,
1933,85.70024,,
1932,85.70752,,
1931,85.73387,,
1930,85.74208,,
1929,85.76429,,
1928,85.76891,,
1927,85.78158,,
1926,85.7689,,
1925,85.77549,,
1924,85.7807,,
1923,85.78904,,
1922,85.77095,,
1921,85.76444,,
1920,85.78019,,
1919,85.76993,,
1918,85.77398,,
1917,85.76685,,
1916,85.76714,,
1915,85.75218,,
1914,85.74341,,
1913,85.74341,,
1912,85.74256,,
1911,85.68228,,
1910,85.62698,,
1909,85.64617,,
1908,85.59281,,
1907,85.56729,,
1906,85.52568,,
1905,85.48387,,
1904,85.51519,,
1903,85.50256,,
1902,85.5353,,
1901,85.54551,,
1900,85.51593,,
1899,85.48339,,
1898,85.47308,,
1897,85.4517,,
1896,85.41695,,
1895,85.41556,,
1894,85.36636,,
1893,85.32864,,
1892,85.30519,,
1891,85.2447,,
1890,85.20481,,
1889,85.19185,,
1888,85.19246,,
1887,85.17386,,
1886,85.10862,,
1885,85.08478,,
1884,85.01372,,
1883,84.9651,,
1882,84.92155,,
1881,84.87261,,
1880,84.79323,,
1879,84.72447,,
1878,84.67849,,
1877,84.64258,,
1876,84.5975,,
1875,84.52838,,
1874,84.49176,,
1873,84.49958,,
1872,84.51258,,
1871,84.51198,,
1870,84.48557,,
1869,84.36342,,
1868,84.31084,,
1867,84.27287,,
1866,84.24932,,
1865,84.25464,,
1864,84.2194,,
1863,84.18201,,
1862,84.14497,,
1861,84.05051,,
1860,84.07301,,
1859,84.05022,,
1858,84.05948,,
1857,84.07697,,
1856,84.03907,,
1855,84.0237,,
1854,83.98771,,
1853,83.91713,,
1852,83.89085,,
1851,83.88017,,
1850,83.83774,,
1849,83.83207,,
1848,83.78911,,
1847,83.78088,,
1846,83.80358,,
1845,83.83328,,
1844,83.83759,,
1843,83.88854,,
1842,83.82835,,
1841,83.80275,,
1840,83.76104,,
1839,83.75386,,
1838,83.78693,,
1837,83.78196,,
1836,83.77662,,
1835,83.78515,,
1834,83.79842,,
1833,83.82946,,
1832,83.89237,,
1831,83.91985,,
1830,83.88917,,
1829,83.91238,,
1828,83.95559,,
1827,83.98179,,
1826,83.99868,,
1825,84.06043,,
1824,84.12439,,
1823,84.19107,,
1822,84.27288,,
1821,84.28921,,
1820,84.31509,,
1819,84.35943,,
1818,84.37161,,
1817,84.47463,,
1816,84.48682,,
1815,84.51573,,
1814,84.56794,,
1813,84.59289,,
1812,84.61529,,
1811,84.64547,,
1810,84.66866,,
1809,84.69835,,
1808,84.76727,,
1807,84.7895,,
1806,84.8454,,
1805,84.87045,,
1804,84.90986,,
1803,84.96294,,
1802,84.96747,,
1801,84.98772,,
1800,85.02826,,
1799,85.05035,,
1798,85.0557,,
1797,85.07253,,
1796,85.10376,,
1795,85.10384,,
1794,85.11742,,
1793,85.15469,,
1792,85.14824,,
1791,85.17598,,
1790,85.156,,
1789,85.15404,,
1788,85.14668,,
1787,85.11589,,
1786,85.09384,,
1785,85.06381,,
1784,85.04622,,
1783,85.00624,,
1782,84.97506,,
1781,84.89392,,
1780,84.84903,,
1779,84.79836,,
1778,84.72756,,
1777,84.66263,,
1776,84.57173,,
1775,84.49617,,
1774,84.40759,,
1773,84.35311,,
1772,84.2857,,
1771,84.2292,,
1770,84.16521,,
1769,84.13277,,
1768,84.09796,,
1767,84.08678,,
1766,84.0744,,
1765,84.0422,,
1764,84.02003,,
1763,83.97543,,
1762,83.96467,,
1761,83.95648,,
1760,83.91534,,
1759,83.90017,,
1758,83.85464,,
1757,83.78317,,
1756,83.71982,,
1755,83.65432,,
1754,83.5751,,
1753,83.50055,,
1752,83.41761,,
1751,83.30635,,
1750,83.19266,,
1749,83.07646,,
1748,82.95522,,
1747,82.83409,,
1746,82.70052,,
1745,82.55708,,
1744,82.44282,,
1743,82.30749,,
1742,82.18227,,
1741,82.06549,,
1740,81.99507,,
1739,81.93401,,
1738,81.91348,,
1737,81.83517,,
1736,81.80865,,
1735,81.78575,,
1734,81.79307,,
1733,81.80578,,
1732,81.81293,,
1731,81.82823,,
1730,81.81985,,
1729,81.80926,,
1728,81.80624,,
1727,81.82169,,
1726,81.80405,,
1725,81.79181,,
1724,81.7984,,
1723,81.82712,,
1722,81.88091,,
1721,81.94833,,
1720,82.00337,,
1719,82.08334,,
1718,82.15385,,
1717,82.23417,,
1716,82.30787,,
1715,82.40057,,
1714,82.47815,,
1713,82.5147,,
1712,82.52758,,
1711,82.51588,,
1710,82.49104,,
1709,82.47036,,
1708,82.47123,,
1707,82.47413,,
1706,82.42558,,
1705,82.40085,,
1704,82.38246,,
1703,82.36221,,
1702,82.38101,,
1701,82.42744,,
1700,82.52755,,
